# 崩坏职业：随从仅来自官方百科“女武神”；法术仅来自“圣痕”；护符仅来自“人偶/协同者”。
# img 使用官方百科图片的本地副本；sourceUrl 保存逐张核验的官方详情页。
id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img	characterId	formTier	replaceCost	crossTierCost	sourceType	sourceUrl
K016	姬麟(上)	崩坏	法术	铜	1				0	圣痕	spell: drawKind(随从,1)	圣痕法术：从牌库抽1张随从。	装甲轮转/休伯利安支援	img/honkai/K016.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/500/detail?bbs_presentation_style=no_header
K017	姬麟(中)	崩坏	法术	铜	2				0	圣痕	spell: costDown(1)	圣痕法术：手牌中的卡牌费用降低1点。	装甲轮转/律者跃迁	img/honkai/K017.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/502/detail?bbs_presentation_style=no_header
K018	姬麟(下)	崩坏	法术	银	3				0	圣痕	spell: draw(2)	圣痕法术：抽2张牌。	律者跃迁	img/honkai/K018.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/503/detail?bbs_presentation_style=no_header
K019	莎士比亚(上)	崩坏	法术	银	2				0	圣痕	spell: buffHand(1,1)	圣痕法术：随机一张手牌中的随从获得+1/+1。	装甲轮转/休伯利安支援	img/honkai/K019.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/479/detail?bbs_presentation_style=no_header
K020	莎士比亚(中)	崩坏	法术	银	2				0	圣痕	spell: grant(selfLeader,barrier)	圣痕法术：主战者获得屏障。	装甲轮转/休伯利安支援	img/honkai/K020.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/480/detail?bbs_presentation_style=no_header
K021	莎士比亚(下)	崩坏	法术	金	4				0	圣痕	spell: refundPP(2), draw(1)	圣痕法术：回复2点PP并抽1张牌。	律者跃迁/休伯利安支援	img/honkai/K021.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/481/detail?bbs_presentation_style=no_header
K022	水镜(上)	崩坏	法术	铜	2				0	圣痕	spell: heal(selfLeader,3)	圣痕法术：回复主战者3点生命。	装甲轮转/休伯利安支援	img/honkai/K022.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/587/detail?bbs_presentation_style=no_header
K023	水镜(中)	崩坏	法术	银	3				0	圣痕	spell: bounce(enemyOne)	圣痕法术：将1个敌方随从返回手牌。	律者跃迁/休伯利安支援	img/honkai/K023.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/588/detail?bbs_presentation_style=no_header
K024	水镜(下)	崩坏	法术	金	4				0	圣痕	spell: dmg(enemyOne,3)	圣痕法术：对1个敌方随从造成3点伤害。	装甲轮转/律者跃迁	img/honkai/K024.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/592/detail?bbs_presentation_style=no_header
K025	贝多芬(上)	崩坏	法术	铜	1				0	圣痕	spell: drawKind(护符,1)	圣痕法术：从牌库抽1张护符。	休伯利安支援	img/honkai/K025.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/356/detail?bbs_presentation_style=no_header
K026	贝多芬(中)	崩坏	法术	银	2				0	圣痕	spell: cleanse(allyOne)	圣痕法术：解除1个自己的随从所处格子的负面状态。	装甲轮转/休伯利安支援	img/honkai/K026.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/357/detail?bbs_presentation_style=no_header
K027	贝多芬(下)	崩坏	法术	金	5				0	圣痕	spell: dmg(enemyAll,1), heal(selfLeader,2)	圣痕法术：对敌方全体随从造成1点伤害，回复主战者2点生命。	律者跃迁/休伯利安支援	img/honkai/K027.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/358/detail?bbs_presentation_style=no_header
K028	叶采章(上)	崩坏	法术	银	2				0	圣痕	spell: draw(1), costDown(1)	圣痕法术：抽1张牌，手牌中的卡牌费用降低1点。	装甲轮转/律者跃迁	img/honkai/K028.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/386/detail?bbs_presentation_style=no_header
K029	叶采章(中)	崩坏	法术	金	4				0	圣痕	spell: buffHand(2,2)	圣痕法术：随机一张手牌中的随从获得+2/+2。	律者跃迁	img/honkai/K029.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/387/detail?bbs_presentation_style=no_header
K030	叶采章(下)	崩坏	法术	金	5				0	圣痕	spell: grant(selfLeader,barrier), draw(1)	圣痕法术：主战者获得屏障并抽1张牌。	休伯利安支援	img/honkai/K030.png					圣痕	https://baike.mihoyo.com/bh3/wiki/content/388/detail?bbs_presentation_style=no_header
K031	赤鸢之翼	崩坏	护符	银	2			3	0	人偶	onPlay: grant(selfLeader,barrier)	人偶护符：倒数3；入场曲：主战者获得屏障。	装甲轮转/休伯利安支援	img/honkai/K031.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/762/detail?bbs_presentation_style=no_header
K032	特斯拉Zero	崩坏	护符	铜	1			2	0	人偶	onPlay: draw(1)	人偶护符：倒数2；入场曲：抽1张牌。	装甲轮转/休伯利安支援	img/honkai/K032.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/766/detail?bbs_presentation_style=no_header
K033	贝拉	崩坏	护符	银	3			4	0	人偶	onPlay: grant(selfLeader,barrier)	人偶护符：倒数4；入场曲：主战者获得屏障。	休伯利安支援	img/honkai/K033.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/767/detail?bbs_presentation_style=no_header
K034	重装小兔	崩坏	护符	铜	2			3	0	人偶	onPlay: costDown(1)	人偶护符：倒数3；入场曲：手牌中的卡牌费用降低1点。	装甲轮转/律者跃迁	img/honkai/K034.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/2587/detail?bbs_presentation_style=no_header
K035	妖精爱莉	崩坏	护符	铜	2			3	0	人偶	onPlay: heal(selfLeader,2)	人偶护符：倒数3；入场曲：回复主战者2点生命。	装甲轮转/休伯利安支援	img/honkai/K035.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/1796/detail?bbs_presentation_style=no_header
K036	克莱茵	崩坏	护符	铜	1			2	0	人偶	onPlay: grant(selfLeader,barrier)	人偶护符：倒数2；入场曲：主战者获得屏障。	休伯利安支援	img/honkai/K036.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/1005/detail?bbs_presentation_style=no_header
K037	苍玄之书	崩坏	护符	银	3			3	0	人偶	onPlay: buffHand(1,1)	人偶护符：倒数3；入场曲：随机一张手牌中的随从获得+1/+1。	装甲轮转/休伯利安支援	img/honkai/K037.png					人偶	https://baike.mihoyo.com/bh3/wiki/content/765/detail?bbs_presentation_style=no_header
K038	松雀	崩坏	护符	银	3			3	0	协同者	onPlay: drawKind(法术,1)	协同者护符：倒数3；入场曲：抽1张法术。	律者跃迁/休伯利安支援	img/honkai/K038.png					协同者	https://baike.mihoyo.com/bh3/wiki/content/3016/detail?bbs_presentation_style=no_header
K039	白鹿游云	崩坏	护符	银	4			4	0	协同者	onPlay: refundPP(1), draw(1)	协同者护符：倒数4；入场曲：回复1点PP并抽1张牌。	休伯利安支援	img/honkai/K039.png					协同者	https://baike.mihoyo.com/bh3/wiki/content/4202/detail?bbs_presentation_style=no_header
K040	晨雪	崩坏	护符	金	5			4	0	协同者	onPlay: heal(selfLeader,3), grant(selfLeader,barrier)	协同者护符：倒数4；入场曲：回复3点生命并获得屏障。	休伯利安支援	img/honkai/K040.png					协同者	https://baike.mihoyo.com/bh3/wiki/content/4034/detail?bbs_presentation_style=no_header
K041	瑟拉珮姆	崩坏	护符	金	4			3	0	协同者	onPlay: costDown(1), draw(1)	协同者护符：倒数3；入场曲：手牌中的卡牌费用降低1点并抽1张牌。	律者跃迁/休伯利安支援	img/honkai/K041.png					协同者	https://baike.mihoyo.com/bh3/wiki/content/3496/detail?bbs_presentation_style=no_header
K042	寻梦者·1P	崩坏	护符	金	5			5	0	协同者	onPlay: draw(2)	协同者护符：倒数5；入场曲：抽2张牌。	律者跃迁/休伯利安支援	img/honkai/K042.png					协同者	https://baike.mihoyo.com/bh3/wiki/content/3014/detail?bbs_presentation_style=no_header
K043	彼岸双生	崩坏	随从	铜	1	2	2		0	Seele	onPlay: draw(1)	女武神：希儿形态链1阶；入场曲：抽1张牌。	休伯利安支援	img/honkai/K043.png	Seele	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/72/detail?bbs_presentation_style=no_header
K044	魇夜星渊	崩坏	随从	银	4	4	3		0	Seele	onReplace: bounce(enemyOne)	女武神：希儿形态链2阶；替换时：将1个敌方随从返回手牌。	休伯利安支援	img/honkai/K044.png	Seele	2	1	3	女武神	https://baike.mihoyo.com/bh3/wiki/content/73/detail?bbs_presentation_style=no_header
K045	粉色妖精小姐♪	崩坏	随从	铜	1	3	1		0	Elysia	onPlay: heal(selfLeader,1)	女武神：爱莉希雅形态链1阶；入场曲：回复主战者1点生命。	律者跃迁/休伯利安支援	img/honkai/K045.png	Elysia	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/979/detail?bbs_presentation_style=no_header
K046	真我·人之律者	崩坏	随从	银	5	5	3		0	Elysia	onReplace: dmg(enemyAll,1)	女武神：爱莉希雅形态链2阶；替换时：对敌方全体随从造成1点伤害。	律者跃迁/休伯利安支援	img/honkai/K046.png	Elysia	2	1	3	女武神	https://baike.mihoyo.com/bh3/wiki/content/1784/detail?bbs_presentation_style=no_header
K047	炽翎	崩坏	随从	铜	2	3	2		0	Fuhua	onPlay: grant(self,barrier)	女武神：符华形态链1阶；入场曲：获得屏障。	装甲轮转/律者跃迁	img/honkai/K047.png	Fuhua	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/44/detail?bbs_presentation_style=no_header
K048	识之律者	崩坏	随从	银	5	5	4		0	Fuhua	onReplace: buff(self,2,2)	女武神：符华形态链2阶；替换时：自身获得+2/+2。	装甲轮转/律者跃迁	img/honkai/K048.png	Fuhua	2	1	3	女武神	https://baike.mihoyo.com/bh3/wiki/content/46/detail?bbs_presentation_style=no_header
K049	死生之律者	崩坏	随从	金	7	7	7		0	希儿	onReplace: destroy(enemyOne); onRetreat: draw(1)	女武神：希儿形态链3阶；替换时：消灭1个敌方随从；退阶时：抽1张牌。	休伯利安支援	img/honkai/K049.png	Seele	3	2	4	女武神	https://baike.mihoyo.com/bh3/wiki/content/2560/detail?bbs_presentation_style=no_header
K050	黯蔷薇	崩坏	随从	铜	1	2	2		0	丽塔	onPlay: heal(selfLeader,1)	女武神：丽塔形态链1阶；入场曲：回复主战者1点生命。	装甲轮转/律者跃迁	img/honkai/K050.png	Rita	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/59/detail?bbs_presentation_style=no_header
K051	缭乱星棘	崩坏	随从	银	4	5	4		0	丽塔	onReplace: dmg(enemyOne,2)	女武神：丽塔形态链2阶；替换时：对1个敌方随从造成2点伤害。	装甲轮转/律者跃迁	img/honkai/K051.png	Rita	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/1452/detail?bbs_presentation_style=no_header
K052	女武神·荣光	崩坏	随从	铜	2	3	2		0	幽兰黛尔	static: ward	女武神：幽兰黛尔形态链1阶；守护。	装甲轮转/休伯利安支援	img/honkai/K052.png	Durandal	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/10/detail?bbs_presentation_style=no_header
K053	天元骑英	崩坏	随从	银	5	6	5		0	幽兰黛尔	onReplace: grant(self,rush), buff(self,1,1)	女武神：幽兰黛尔形态链2阶；替换时：获得突进与+1/+1。	装甲轮转/休伯利安支援	img/honkai/K053.png	Durandal	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/1447/detail?bbs_presentation_style=no_header
K054	逆神巫女	崩坏	随从	铜	1	2	1		0	八重樱	onPlay: draw(1)	女武神：八重樱形态链1阶；入场曲：抽1张牌。	休伯利安支援	img/honkai/K054.png	Sakura	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/29/detail?bbs_presentation_style=no_header
K055	夜隐重霞	崩坏	随从	银	4	5	3		0	八重樱	onReplace: dmg(enemyLeader,2)	女武神：八重樱形态链2阶；替换时：对敌方主战者造成2点伤害。	休伯利安支援	img/honkai/K055.png	Sakura	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/47/detail?bbs_presentation_style=no_header
